Index Number;Name;Address;Project Status;Occupancy Year;Operator;Clientele- Families;Clientele - Seniors;Clientele - Other;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;URL;Geom
6;Helen's Court Co-op;2137 W 1st Ave;Completed;1984;Helen's Court Co-op Housing Association;35;0;9;2;0;0;0;0;0;0;0;0;0;7;22;13;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=6;"{""coordinates"": [-123.1536261, 49.27104183], ""type"": ""Point""}"
7;Laura Jamieson Co-op;1349 E 2nd Ave;Completed;1987;Laura Jamieson Co-op Housing Association;42;0;5;1;1;0;0;0;0;0;0;0;0;4;23;18;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=7;"{""coordinates"": [-123.07614157, 49.26900321], ""type"": ""Point""}"
8;Westerdale Co-op;1507 E 2nd Ave;Completed;1984;Westerdale Co-op Housing Association;10;0;9;4;1;1;0;0;0;0;0;0;0;5;6;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=8;"{""coordinates"": [-123.07304966, 49.26896961], ""type"": ""Point""}"
18;Vancouver Native (4th Ave);1560 E 4th Ave;Completed;1989;BC Indigenous Housing Society;20;10;1;1;0;0;0;0;0;0;0;0;0;10;11;4;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=18;"{""coordinates"": [-123.0718679, 49.2666326], ""type"": ""Point""}"
20;Northern Way Co-op;675 E 5th Ave;Completed;1985;Northern Way Co-op Housing Association;44;0;16;3;0;0;0;0;0;0;0;0;0;13;24;19;1;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=20;"{""coordinates"": [-123.09065341, 49.26639799], ""type"": ""Point""}"
25;China Creek Place;1040 E 7th Ave;Completed;1974;BC Housing;11;0;7;0;0;0;0;0;0;0;0;0;0;6;11;0;0;1;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=25;"{""coordinates"": [-123.08252037, 49.26400829], ""type"": ""Point""}"
33;George Whiten Place;2875 E 6th Ave;Completed;1990;Sch'eyk Housing Society;23;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;3;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=33;"{""coordinates"": [-123.04515669, 49.26502759], ""type"": ""Point""}"
34;Lu'Ma Housing (6th Ave);756 E 6th Ave;Completed;1986;Lu'Ma Native Housing Society;13;0;7;0;1;0;0;0;0;0;0;0;0;7;10;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=34;"{""coordinates"": [-123.08812236, 49.26495984], ""type"": ""Point""}"
39;Quebec Manor Co-op;101 E 7th Ave;Completed;1982;Quebec Manor Co-op Housing Association;10;0;22;0;0;0;0;0;0;0;0;0;0;8;14;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=39;"{""coordinates"": [-123.10244623, 49.26487539], ""type"": ""Point""}"
42;Wilp-Lo-Ama-Gaut;860 E 7th Ave;Completed;1987;BC Indigenous Housing Society;12;6;0;0;0;0;0;0;0;0;0;0;0;6;6;6;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=42;"{""coordinates"": [-123.08569338, 49.26403654], ""type"": ""Point""}"
47;Ledingham Place;2425 Brunswick St;Completed;1988;Sch'eyk Housing Society;21;0;12;0;0;0;0;0;0;12;15;6;0;0;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=47;"{""coordinates"": [-123.09754471, 49.26336944], ""type"": ""Point""}"
51;China Creek Co-op;1230 E 8th Ave;Completed;1987;China Creek Co-op Housing Association;27;0;8;2;2;0;0;0;0;0;0;0;0;6;19;5;1;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=51;"{""coordinates"": [-123.07922139, 49.26307424], ""type"": ""Point""}"
53;Access Co-op South;2829 E 8th Ave;Completed;1983;Access Co-op Housing Association;30;0;7;2;6;5;2;0;0;0;0;0;0;5;9;8;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=53;"{""coordinates"": [-123.04651609, 49.26321325], ""type"": ""Point""}"
59;Lu'Ma Housing (10th Ave);506 E 10th Ave;Completed;1982;Lu'Ma Native Housing Society;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=59;"{""coordinates"": [-123.09281748, 49.26128682], ""type"": ""Point""}"
61;Lutheran Manor;375 W 10th Ave;Completed;1977;Lutheran Manor Society of Vancouver;0;49;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;36;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=61;"{""coordinates"": [-123.11246693, 49.26246017], ""type"": ""Point""}"
73;Clark Street Apartment;1435 E 14th Ave;Completed;1977;Coast Mental Health;0;0;17;0;0;0;0;1;0;0;0;0;0;2;0;0;0;14;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=73;"{""coordinates"": [-123.07481742, 49.25804597], ""type"": ""Point""}"
76;Redwood Mews;420 W 16th Ave;Completed;1976;BC Housing;24;0;6;0;0;0;0;0;0;0;0;0;0;6;16;8;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=76;"{""coordinates"": [-123.11276834, 49.25663841], ""type"": ""Point""}"
81;Brant Villa;2270 E 25th Ave;Completed;1971;BC Housing;48;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;6;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=81;"{""coordinates"": [-123.05903401, 49.24741422], ""type"": ""Point""}"
86;HW Flesher Co-op;3545 E 43rd Ave;Completed;1985;HW Flesher Co-op Housing Association;75;0;25;1;1;1;0;0;0;0;0;0;0;24;54;17;2;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=86;"{""coordinates"": [-123.0282517, 49.23143252], ""type"": ""Point""}"
91;Columbus Residence;704 W 69th Ave;Completed;1990;Columbus Long Term Care Society;0;23;0;3;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=91;"{""coordinates"": [-123.12096057, 49.20890443], ""type"": ""Point""}"
94;Lu'Ma Housing (Adanac St);1530 Adanac St;Completed;1987;Lu'Ma Native Housing Society;21;0;5;1;0;0;0;0;0;0;0;0;0;3;11;10;0;1;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=94;"{""coordinates"": [-123.0734715, 49.27733673], ""type"": ""Point""}"
98;Southvan Manor;6545 Alberta St;Completed;1978;South Vancouver Foundation;0;100;0;5;0;0;0;0;0;0;0;0;0;11;0;0;0;84;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=98;"{""coordinates"": [-123.11362118, 49.22542244], ""type"": ""Point""}"
104;Four Sisters Co-op;118 Alexander St;Completed;1987;Four Sisters Co-op Housing Association;16;0;37;5;5;0;0;5;0;0;0;0;0;18;11;0;0;9;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=104;"{""coordinates"": [-123.10153493, 49.28370049], ""type"": ""Point""}"
105;St. Mary's Ukrainian Gardens;3111 Ash St;Completed;1975;St. Mary's Ukrainian Senior Citizens' Society;0;90;0;2;0;0;0;0;0;0;0;0;0;44;0;0;0;44;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=105;"{""coordinates"": [-123.11839952, 49.25789384], ""type"": ""Point""}"
107;Lions Argyle Manor;7008 Balmoral St;Completed;1973;South Amherst Housing Society;0;21;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;11;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=107;"{""coordinates"": [-123.06809358, 49.21977498], ""type"": ""Point""}"
108;Burrard Manor;2330 Balsam St;Completed;1967;Brightside Community Homes Foundation;0;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;14;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=108;"{""coordinates"": [-123.15956116, 49.26508927], ""type"": ""Point""}"
111;Gordon Fahrni House;1630 Barclay St;Completed;1970;Brightside Community Homes Foundation;0;42;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;34;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=111;"{""coordinates"": [-123.1353019, 49.28821106], ""type"": ""Point""}"
115;Matheson Heights Co-op;3502-98 Bluejay Cr;Completed;1981;Matheson Heights Co-op Housing Association;106;0;20;0;6;0;0;0;0;0;0;0;0;20;55;35;10;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=115;"{""coordinates"": [-123.02641787, 49.21275024], ""type"": ""Point""}"
117;Alexandra Place;2450 Penticton St;Completed;1985;Sch'eyk Housing Society;12;0;12;3;0;0;0;0;0;0;0;0;0;9;12;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=117;"{""coordinates"": [-123.05180854, 49.26231048], ""type"": ""Point""}"
120;Broadview Co-op;2525 Waterloo St;Completed;1984;Broadview Co-op Housing Association;10;0;7;5;2;0;0;0;0;0;0;0;0;2;2;6;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=120;"{""coordinates"": [-123.18021442, 49.2640035], ""type"": ""Point""}"
124;West End Manor;1145 Burnaby St;Completed;1988;Affordable Housing Societies;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=124;"{""coordinates"": [-123.13321456, 49.28066394], ""type"": ""Point""}"
129;Stamp's Place;512 Campbell Ave;Completed;1967;BC Housing;241;134;0;0;0;0;0;0;0;0;0;0;0;42;104;117;20;92;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=129;"{""coordinates"": [-123.08401895, 49.27900972], ""type"": ""Point""}"
132;Skeena Terrace - West;3400 E 5th Av;Completed;1962;BC Housing;69;69;0;0;0;0;0;0;0;0;0;0;0;48;30;19;20;21;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=132;"{""coordinates"": [-123.03033314, 49.26414502], ""type"": ""Point""}"
133;Royal Arch Masonic Apartments;7780 Champlain Cr;Completed;1982;Royal Arch Masonic Homes;0;75;0;5;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=133;"{""coordinates"": [-123.02892955, 49.21403506], ""type"": ""Point""}"
134;Charleswood Court;1515 Charles St;Completed;1986;More Than a Roof Housing Society;22;0;4;1;0;0;0;0;0;0;0;0;0;3;19;3;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=134;"{""coordinates"": [-123.07301669, 49.27331573], ""type"": ""Point""}"
140;Le Coeur Co-op;3502-3672 Cordiale Dr;Completed;1982;Le Coeur Co-op Housing Association;63;0;14;0;0;0;0;0;0;0;0;0;0;14;26;33;4;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=140;"{""coordinates"": [-123.02601179, 49.20962267], ""type"": ""Point""}"
145;Mavis McMullen Place;430 E Cordova St;Completed;1988;Mavis McMullen Housing Society;10;24;0;1;0;0;0;0;0;0;0;0;0;7;7;3;0;16;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=145;"{""coordinates"": [-123.09447792, 49.28192592], ""type"": ""Point""}"
154;De Cosmos Village Co-op;3564 Dease Lane;Completed;1972;De Cosmos Village Co-op Housing Association;110;0;0;0;0;0;0;0;0;0;0;0;0;0;31;74;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=154;"{""coordinates"": [-123.02554929, 49.2228022], ""type"": ""Point""}"
155;Marin Vista;8430 Aqua Dr;Completed;1985;Affordable Housing Societies;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=155;"{""coordinates"": [-123.06367471, 49.20768611], ""type"": ""Point""}"
158;Killarney Gardens;6620 Elliott St;Completed;1966;BC Housing;0;124;29;0;0;0;0;0;0;0;0;0;0;59;0;0;0;84;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=158;"{""coordinates"": [-123.05403611, 49.22319619], ""type"": ""Point""}"
168;W.A. Street Homes;837 E Georgia St;Completed;1986;Affordable Housing Societies;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=168;"{""coordinates"": [-123.08637889, 49.27857263], ""type"": ""Point""}"
172;Beatrice Terrace;1877 E Georgia St;Completed;1988;Entre Nous Femmes Housing Society;18;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=172;"{""coordinates"": [-123.06617155, 49.27866977], ""type"": ""Point""}"
174;Grandview Gardens;2535 Grandview Hwy N;Completed;1977;Metro Vancouver Housing Corporation;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=174;"{""coordinates"": [-123.05390317, 49.25849645], ""type"": ""Point""}"
181;Natalia Terrace;3510 SE Marine Dr;Completed;1992;Entre Nous Femmes Housing Society;41;0;0;0;0;0;0;0;0;0;0;0;0;0;25;16;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=181;"{""coordinates"": [-123.02876493, 49.20726071], ""type"": ""Point""}"
186;Barclay Heritage Square;1416 Haro St;Completed;1985;City of Vancouver;18;0;0;0;1;0;0;0;0;0;0;0;0;0;6;11;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=186;"{""coordinates"": [-123.13182158, 49.28736751], ""type"": ""Point""}"
189;Ford Building;375 Main St;Completed;1985;Affordable Housing Societies;0;0;76;0;0;0;0;0;0;0;0;0;0;7;0;0;0;69;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=189;"{""coordinates"": [-123.10009785, 49.28160293], ""type"": ""Point""}"
190;Bill Hennessy Place;501 E Hastings St;Completed;1984;Sch'eyk Housing Society;17;0;53;6;0;0;0;0;0;0;0;0;0;23;17;0;0;24;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=190;"{""coordinates"": [-123.09283543, 49.28150447], ""type"": ""Point""}"
192;Jennie Pentland Place;540 E Hastings St;Completed;1987;Sch'eyk Housing Society;17;0;69;2;0;0;0;7;0;0;0;0;0;23;11;6;0;37;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=192;"{""coordinates"": [-123.09305566, 49.28089739], ""type"": ""Point""}"
193;Shon Yee Place;628 E Hastings St;Completed;1988;Shon Yee Benevolent Association of Canada;0;72;0;4;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=193;"{""coordinates"": [-123.09102024, 49.28085873], ""type"": ""Point""}"
196;"Co-op Demers ""La Bruyere""";3196 Heather St;Completed;1976;"Co-op Demers ""La Bruyere"" Co-op Hsg Assoc.";7;0;21;0;0;0;0;0;0;0;0;0;0;21;6;1;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=196;"{""coordinates"": [-123.11963072, 49.25726946], ""type"": ""Point""}"
198;Brookland Court;540 Helmcken St;Completed;1989;The 127 Society for Housing;0;78;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;70;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=198;"{""coordinates"": [-123.12347769, 49.2772737], ""type"": ""Point""}"
200;Goodson Korsch Residence;1260 Howe St;Completed;1989;Vancouver Jewish Building Society;0;65;0;3;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=200;"{""coordinates"": [-123.12782053, 49.27701245], ""type"": ""Point""}"
202;MacLean Park - Phase II;350 Keefer St;Completed;1970;BC Housing;139;161;0;0;0;0;0;0;0;0;0;0;0;70;72;45;22;91;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=202;"{""coordinates"": [-123.09530078, 49.27849526], ""type"": ""Point""}"
219;Twin Rainbows Co-op;1415 Lamey's Mill Rd;Completed;1981;Twin Rainbows Co-op Housing Association;25;0;18;0;2;0;0;0;0;0;0;0;0;18;13;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=219;"{""coordinates"": [-123.13586996, 49.26788454], ""type"": ""Point""}"
229;Vera Co-op;531 SW Marine Dr;Completed;1985;Vera Co-op Housing Association;31;0;38;3;0;0;0;0;0;0;0;0;0;35;7;24;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=229;"{""coordinates"": [-123.11952291, 49.20965032], ""type"": ""Point""}"
230;Ashdown Gardens;590 SW Marine Dr;Completed;1982;Metro Vancouver Housing Corporation;30;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=230;"{""coordinates"": [-123.11847601, 49.20912755], ""type"": ""Point""}"
231;Wits' End Co-op;1592 SW Marine Dr;Completed;1986;Wits' End Co-op Housing Association;43;0;9;0;2;0;0;0;0;0;0;0;0;9;23;13;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=231;"{""coordinates"": [-123.14375724, 49.20824039], ""type"": ""Point""}"
235;Cedar Mill Co-op;3381 Marquette Cr;Completed;1982;Cedar Mill Co-op Housing Association;43;0;10;2;0;6;0;0;0;0;0;0;0;8;19;13;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=235;"{""coordinates"": [-123.03115912, 49.21293165], ""type"": ""Point""}"
244;Orchard Park;5701 Nanaimo St;Completed;1959;BC Housing;117;52;0;4;0;0;0;4;0;0;0;0;0;30;64;50;3;14;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=244;"{""coordinates"": [-123.05939466, 49.23115573], ""type"": ""Point""}"
245;Watershed Co-op;1416 Napier St;Completed;1981;Watershed Co-op Housing Association;11;0;3;0;0;0;0;0;0;0;0;0;0;3;5;4;2;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=245;"{""coordinates"": [-123.07496109, 49.27451785], ""type"": ""Point""}"
254;Pacific Heights Co-op;1019 Pacific St;Completed;1985;Pacific Heights Co-op Housing Association;79;0;12;5;0;0;0;0;0;0;0;0;0;7;56;23;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=254;"{""coordinates"": [-123.13276735, 49.2776072], ""type"": ""Point""}"
256;China Villa;300 E Pender St;Completed;1971;Christ Church of China;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;47;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=256;"{""coordinates"": [-123.09649954, 49.28003018], ""type"": ""Point""}"
262;Lu'Ma Housing (Pender St);1710 E Pender St;Completed;1986;Lu'Ma Native Housing Society;16;0;11;0;0;0;0;0;0;0;0;0;0;7;12;4;0;4;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=262;"{""coordinates"": [-123.07002235, 49.28001135], ""type"": ""Point""}"
266;WISHS Co-op;3348 W Broadway;Completed;1994;WISHS Co-op Housing Association;0;0;36;0;0;0;0;0;0;4;0;0;0;32;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=266;"{""coordinates"": [-123.17869216, 49.26396627], ""type"": ""Point""}"
270;Harbour Cove Co-op;1515 W 1st Ave;Completed;1986;Harbour Cove Co-op Housing Association;15;0;6;2;2;1;0;0;0;0;0;0;0;4;8;4;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=270;"{""coordinates"": [-123.14128903, 49.27205665], ""type"": ""Point""}"
271;Jericho Place;3890 Point Grey Rd;Completed;1979;Dunbar Village Co-op Housing Association;11;0;4;0;0;0;0;0;0;0;0;0;0;4;9;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=271;"{""coordinates"": [-123.1908124, 49.27094926], ""type"": ""Point""}"
275;Cecilia House;315 Powell St;Completed;1986;The Bloom Group;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=275;"{""coordinates"": [-123.09728984, 49.2833943], ""type"": ""Point""}"
280;Princess Place;321 Princess Ave;Completed;1991;Affordable Housing Societies;61;0;0;0;3;0;0;0;0;0;0;0;0;0;39;19;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=280;"{""coordinates"": [-123.09196577, 49.28187669], ""type"": ""Point""}"
281;Chinese Freemason's Manor;768 Prior St;Completed;1989;Chinese Freemason's Housing Society of B.C.;0;81;0;2;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=281;"{""coordinates"": [-123.08863524, 49.27631598], ""type"": ""Point""}"
